Application Number,Nameplate Rating
SD-CSI-10302,5.17
SD-CSI-10299,5.52
SD-CSI-10616,12.96
SD-CSI-18761,10.464
SD-CSI-04037,5.94
SD-CSI-04944,7.68
SD-CSI-12268,7.755
SD-CSI-04596,8.19
SD-CSI-19788,3
SD-CSI-05672,4.7
SD-CSI-09365,2.688
SD-CSI-13889,3.27
SD-CSI-10310,5.17
SD-CSI-07273,4.68
SD-CSI-06128,1.568
SD-CSI-16178,5.232
SD-CSI-02825,8.36
SD-CSI-08016,9.675
SD-CSI-11304,18
SD-CSI-08019,2.82
SD-CSI-05836,7.05
SD-CSI-08018,5.76
SD-CSI-12152,11.088
SD-CSI-10484,2.82
SD-CSI-10886,8.46
SD-CSI-20019,6.86
SD-CSI-02413,8.424
SD-CSI-17044,4.41
SD-CSI-11101,10.08
SD-CSI-14124,7.848
SD-CSI-10847,7
SD-CSI-18232,6.54
SD-CSI-03698,8.28
SD-CSI-01456,8
SD-CSI-13944,10.464
SD-CSI-19597,9.3
SD-CSI-07385,7.59
SD-CSI-12004,15.12
SD-CSI-10632,3.84
SD-CSI-08051,8.568
SD-CSI-05695,9.45
SD-CSI-10630,5.17
SD-CSI-10634,2.82
SD-CSI-01638,15.444
SD-CSI-17488,6
SD-CSI-19119,9.54
SD-CSI-10365,5.76
SD-CSI-10898,3.22
SD-CSI-11740,10.24
SD-CSI-08906,9.25
SD-CSI-07320,4.23
SD-CSI-09404,3.84
SD-CSI-12456,11.772
SD-CSI-10716,4.14
SD-CSI-10641,8.28
SD-CSI-18823,6.5
SD-CSI-10900,4.452
SD-CSI-13238,6.867
SD-CSI-09771,18.24
SD-CSI-08427,7.755
SD-CSI-13736,5
SD-CSI-17511,8.415
SD-CSI-05712,3.136
SD-CSI-18262,7.8
SD-CSI-19134,8.96
SD-CSI-11443,11.27
SD-CSI-04105,3.28
SD-CSI-06167,6.6
SD-CSI-08091,5.76
SD-CSI-10390,2.07
SD-CSI-06353,3.675
SD-CSI-05282,8.64
SD-CSI-17818,6
SD-CSI-06183,9.68
SD-CSI-14211,5.886
SD-CSI-11834,7.392
SD-CSI-08100,3.01
SD-CSI-12238,7.755
SD-CSI-08558,6.58
SD-CSI-09190,5.76
SD-CSI-03811,12.15
SD-CSI-09881,6.24
SD-CSI-18867,13.734
SD-CSI-08475,6.58
SD-CSI-11142,8.085
SD-CSI-01477,116.55
SD-CSI-07375,7.524
SD-CSI-17972,4.59
SD-CSI-03813,9.02
SD-CSI-10945,7.59
SD-CSI-06620,8
SD-CSI-10982,7.68
SD-CSI-15392,5.76
SD-CSI-09768,5.52
SD-CSI-03760,4.2
SD-CSI-16772,7.8
SD-CSI-02774,6
SD-CSI-16127,4.16
SD-CSI-00210,10.92
SD-CSI-05173,4.62
SD-CSI-15072,10.71
SD-CSI-03472,4.5
SD-CSI-02195,3.6
SD-CSI-17575,4.59
SD-CSI-08982,2.3
SD-CSI-17981,7.245
SD-CSI-18541,7.83
SD-CSI-18939,5.72
SD-CSI-18874,3.71
SD-CSI-20362,5.51
SD-CSI-18609,5
SD-CSI-19959,4.42
SD-CSI-20689,15.6
SD-CSI-15814,3.06
SD-CSI-15062,7.68
SD-CSI-15122,6.867
SD-CSI-11153,5.76
SD-CSI-07418,6.45
SD-CSI-08182,7.875
SD-CSI-15419,3.76
SD-CSI-12614,4.23
SD-CSI-13290,10.464
SD-CSI-12739,7.92
SD-CSI-11864,7.425
SD-CSI-17171,5.72
SD-CSI-01106,9.6
SD-CSI-14384,4.165
SD-CSI-01598,7.56
SD-CSI-14974,6.24
SD-CSI-06246,5.04
SD-CSI-14144,4.5
SD-CSI-20270,5
SD-CSI-07457,4.48
SD-CSI-14388,4.165
SD-CSI-12565,5.76
SD-CSI-18584,4.16
SD-CSI-14823,5.64
SD-CSI-16041,3.43
SD-CSI-11516,19.32
SD-CSI-07823,3.8
SD-CSI-15212,6.24
SD-CSI-19694,5.4
SD-CSI-14418,3.84
SD-CSI-06833,4.05
SD-CSI-18172,6.37
SD-CSI-12770,7.68
SD-CSI-03290,5.775
SD-CSI-04505,5.04
SD-CSI-14239,3.43
SD-CSI-17811,4.41
SD-CSI-15063,3.91
SD-CSI-06677,2.4
SD-CSI-10252,5.64
SD-CSI-20280,6.867
SD-CSI-06269,1.505
SD-CSI-01379,4.4
SD-CSI-09571,6.9
SD-CSI-15662,10.464
SD-CSI-00603,5.04
SD-CSI-11910,3.84
SD-CSI-20558,5.5
SD-CSI-15881,3.43
SD-CSI-12972,7.848
SD-CSI-14460,7.595
SD-CSI-18631,3.43
SD-CSI-16234,4.9
SD-CSI-03170,6.72
SD-CSI-16940,7.56
SD-CSI-13144,7.848
SD-CSI-20109,4.42
SD-CSI-06527,2.35
SD-CSI-15516,5.1
SD-CSI-09300,2.7
SD-CSI-06883,2.45
SD-CSI-13760,9.89
SD-CSI-06901,7.425
SD-CSI-19496,9.36
SD-CSI-02379,2.8
SD-CSI-21290,5
SD-CSI-19004,5
SD-CSI-13524,4.995
SD-CSI-07556,1.92
SD-CSI-16252,10.464
SD-CSI-21369,6.25
SD-CSI-02220,1.25
SD-CSI-15541,7.92
SD-CSI-17386,5.46
SD-CSI-11227,5.724
SD-CSI-01843,4.576
SD-CSI-20876,5
SD-CSI-20137,4
SD-CSI-05619,5.52
SD-CSI-18153,11
SD-CSI-16999,4.9
SD-CSI-12652,5.39
SD-CSI-07952,5.06
SD-CSI-14325,11.76
SD-CSI-11951,3.995
SD-CSI-11391,7.84
SD-CSI-12354,5.88
SD-CSI-11152,6.75
SD-CSI-11965,7.92
SD-CSI-14793,7.35
SD-CSI-12338,4.32
SD-CSI-10629,4.8
SD-CSI-17026,6.12
SD-CSI-04849,2.24
SD-CSI-19062,3.5
SD-CSI-14083,7.595
SD-CSI-17032,3.57
SD-CSI-03205,4.725
SD-CSI-20656,5.2
SD-CSI-03983,6.3
SD-CSI-20388,5.25
SD-CSI-08369,6.58
SD-CSI-06308,5.2
SD-CSI-13405,8.175
SD-CSI-13701,4.9
SD-CSI-10298,11.52
SD-CSI-07990,3.87
SD-CSI-11098,8.28
SD-CSI-10875,5.88
SD-CSI-17074,8.33
SD-CSI-15297,5.886
SD-CSI-10017,5.4
SD-CSI-08147,3.33
SD-CSI-14631,7.92
SD-CSI-16592,5.886
SD-CSI-05449,4.4
SD-CSI-16646,3.38
SD-CSI-10004,6.24
SD-CSI-04031,6.21
SD-CSI-10091,3.055
SD-CSI-15051,5.64
SD-CSI-02293,2.625
SD-CSI-06134,5.3
SD-CSI-08875,6.75
SD-CSI-08022,3.22
SD-CSI-18417,5.94
SD-CSI-05462,6.3
SD-CSI-04255,14.62
SD-CSI-12273,7.755
SD-CSI-20331,7.5
SD-CSI-16169,2.45
SD-CSI-14136,10.464
SD-CSI-19234,5.4
SD-CSI-17128,7.54
SD-CSI-20725,9.36
SD-CSI-21469,8.25
SD-CSI-03437,1.728
SD-CSI-01771,6.65
SD-CSI-18245,5.5
SD-CSI-14708,13.08
SD-CSI-13714,6.867
SD-CSI-18819,6.63
SD-CSI-09173,4.5
SD-CSI-14950,9.6
SD-CSI-07684,5.17
SD-CSI-02438,5.88
SD-CSI-17165,5.88
