Application Number,Nameplate Rating
18546,3.025
18559,4.48
18560,3.85
18561,3.84
18616,4.88
18621,3.05
18657,4.5
18671,4.27
18672,5
19225,4.41
19283,5.2
19284,5.2
19285,5.2
20672,5.72
9591,4.9
9608,4.41
9674,4.41
9686,4.41
10708,4.41
9664,4.75
9681,4.75
10904,4.41
9680,5.5
10919,4.41
10698,4.75
10699,4.75
10706,5.5
10707,5.5
10709,4.75
10766,4.75
10906,5.415
10962,4.41
11336,4.5
10917,4.75
13267,4.75
13269,4.75
13304,5.5
13306,5.5
13565,4.5
14443,4.75
14446,4.75
14448,4.75
14449,4.25
14450,4.75
14503,5.5
14508,4.75
14511,2.5
14528,4.75
15013,2.5
14510,4.75
15021,2
15024,2.695
15391,3.76
15580,4.75
16002,5.5
16116,4.75
18562,3.185
18619,5.5
18620,4.75
18987,4.75
18658,4.75
19227,5.25
20670,4.75
13270,4.41
13271,4.41
7930,4.41
15579,2
14438,5.5
14509,5.2
8208,4.9
5520,7.92
2051,2.53
9099,3.43
5813,5.06
2045,4.32
10085,3.92
6530,5.06
7097,3.92
1850,2.99
19446,3.64
10193,5.5
10433,5.5
20425,3.64
10146,3.75
6835,1.92
14826,3.43
15313,3
16853,2.75
5549,3.45
20324,4.16
9206,3.64
9677,3.92
9695,3.25
10079,1.225
10916,4.165
11852,5.635
12282,4.165
12444,5.39
12747,3.675
13955,5.04
15151,4.48
21153,2.86
21260,3.12
14327,5.28
14837,4.48
18372,4.16
21072,2.25
21150,1.715
9455,3.66
22483,4.42
10535,2.695
10979,3.43
10134,2.35
10536,3.25
5760,3.22
9071,2.695
20389,2.115
9691,4.165
9784,5.39
9871,4.165
10218,4.165
12057,4.9
12714,2.94
13613,1.96
2903,2.64
2628,5.4
2540,3.42
2514,1.26
8457,3.29
8460,3.43
8456,3.675
8458,2.585
8459,2.585
8461,3.43
2517,3.24
2421,3.84
2831,2.88
2904,2.64
2905,2.64
2970,2.64
19440,3.3
19450,2.08
5865,2.42
5866,2.53
9728,2.695
9729,3.92
2119,4.05
1152,3.8
2120,1.35
6515,4.4
6518,3.185
6522,3.995
3825,3.68
548,5.94
11154,3.675
11172,3.92
2758,7.36
11246,2.97
12044,2.45
14022,1.96
14227,3.43
8295,4.5
14385,1.96
8277,3.185
4727,2.99
5934,2.53
6014,5.64
6097,4.165
9688,5.52
9694,2.53
2472,2.88
11155,3.78
11247,2.86
11279,4.165
11578,4.9
2830,6.44
2423,2.76
2838,3.68
10924,5.5
6098,2.76
8677,3.43
8367,4.14
4918,2.76
5739,3
3460,4.9
22972,5.25
6607,2.35
10540,2.94
10843,4.83
10844,3.91
10845,2.94
10860,2.695
11589,3.22
12626,3.185
8002,4.68
2662,3.76
1852,3.42
6711,4
3308,2.76
3342,3.68
8767,2.94
11093,4.165
11340,5
2588,4.44
2751,4.23
10968,5.39
2489,2.82
6191,2.3
2493,1.85
4928,3.91
3523,5.805
22304,5.2
6112,5.29
6099,3.995
8797,5.88
2581,2.45
4717,2.3
2463,5.52
7467,4.14
2785,2.53
2582,3.5
4650,3.68
7070,7.2
3779,2.8
3296,4.94
2456,3.12
2539,3.29
2618,3.055
11167,4.5
5422,4.32
1995,2.88
2033,2.76
11164,2.94
6446,3.36
3839,3.22
8663,3.43
4039,2.07
2676,3.33
2737,2.59
2739,2.585
2543,5.76
19924,4.94
3473,3.64
6442,3.91
6585,1.645
6655,2.3
11851,5.39
11152,5.145
11161,3.92
12586,2.205
2694,7.755
7096,2.6
2504,4.62
2839,2.88
23997,5.5
3737,3.22
3782,2.53
4343,3.22
2108,3.29
7949,7.8
16786,2.86
2473,4.56
19917,3.84
5944,3.525
6888,3.995
11092,5.39
7565,3.74
3309,5.13
15754,3.185
934,6.24
18387,3.185
5822,3.05
6171,3.45
6774,2.82
2467,2.76
6777,3.68
6776,5.06
6893,5.98
9070,4.41
7643,3.3
2469,6.66
2470,4.995
4595,4.14
2465,2.64
9950,4.165
7295,5.28
11179,4.9
2693,2.07
2643,4.7
8104,4.16
2832,6.24
8100,2.16
9088,2.45
3549,4.14
6381,3.78
6382,5
10044,3.43
11961,3.19
13036,2.205
8774,2.45
2449,11.04
2733,2.82
6688,3.29
6203,4.5
5873,7.32
2546,4.165
2518,2.3
6395,5.04
6413,3.05
10153,4.16
10208,2.07
10609,4.165
10610,2.94
10730,2.86
10732,2.94
10746,4.25
10747,1.92
2545,2.86
8341,2.45
8516,4.165
2475,2.88
3081,6.58
9609,3.185
9667,5.635
7133,6.45
8850,4.165
5819,2.53
11105,3.43
2502,4.7
5052,3.68
6686,2.88
8924,5.544
7559,5.88
8618,5.145
2687,3.8
7534,3.5
7979,2.96
4026,1.61
4185,2.53
4590,1.645
5972,2.4
6007,1.44
6742,3.12
4120,3.91
8886,1.98
9625,2.35
14925,4.25
15539,3.5
15569,3.84
16013,5.5
16022,4.25
16085,4.08
8649,5.39
8646,2.94
8650,2.82
18074,4.335
9391,2.94
10534,2.205
10594,3.43
4121,2.07
12782,2.94
4081,2.07
4171,2.07
16015,3.64
19217,3.315
19601,5.61
4608,2.52
12268,3.92
12432,3.43
18169,4.08
8209,4.9
8752,4.9
18327,3.315
7007,2.88
12538,3.675
8636,1.53
8651,3.06
4394,3.29
8751,3.12
3248,2.76
3314,1.38
9629,2.695
3873,1.38
3874,1.71
3876,2.28
4190,2.88
4027,1.645
6529,2.64
5593,3.91
8023,3.43
3795,4.23
8025,5.2
8005,3.84
8171,2.45
1173,4.6
7847,3.525
5870,1.645
6698,5.64
19902,5.72
7906,2.45
7359,5.39
6392,4.68
6393,2.6
8183,2.695
5868,5.2
5869,6.24
13103,2.7
13330,2.7
10893,2.82
2936,1.38
926,4.6
3151,2.76
6603,2.94
4784,1.38
10391,4.165
11364,3.43
11365,2.205
11408,4
11424,4.165
11593,2.45
12099,2.5
12405,2.25
12499,1.5
12559,1.56
1677,2.88
3032,1.32
3033,1.84
3074,2.3
6254,3.68
6290,2.3
3106,4.284
6637,2.76
6739,2.53
7541,2.76
8431,1.38
9115,1.275
9251,3.315
9296,1.53
10081,1.275
15992,3.25
15989,4
11693,2.04
11696,2.295
11698,2.55
3141,4.76
3326,2.695
6380,2.585
6465,3.29
6964,3.36
6962,2.88
7716,2.205
7769,3.185
8428,3.43
8556,3.92
8697,1.96
8698,3.185
8977,3.185
8699,6.125
9567,5.145
9710,1.225
9757,4.41
10405,4.16
10438,2.25
10991,2
11338,2.205
11762,4
12503,3.9
5644,3.78
5789,2.76
3323,2.3
3327,1.32
5929,2.07
3403,2.3
3408,2.07
5971,2.53
5978,3
3478,2.53
9782,2.205
9820,2.45
3736,1.38
6475,2.94
6477,2.3
6525,1.84
10408,3.29
10424,2.82
10526,2.115
9127,3.92
9140,2.775
9926,1.68
10177,1.295
6898,4.41
3920,4.14
10984,3.29
11027,2.585
7114,1.38
863,1.44
911,3.68
1041,1.32
1052,1.33
4076,2.07
7159,4.6
1196,2.16
4087,2.3
1213,1.33
1238,2.115
7472,1.96
12067,2.695
12068,1.96
12069,2.695
7493,2.76
1242,1.8
7512,2.07
7529,1.38
4226,1.38
1308,1.32
7719,3.91
2892,1.76
7770,1.44
4187,1.52
4206,1.52
4310,1.71
4341,1.71
4552,1.9
4563,1.52
4780,1.9
4912,1.33
5118,1.52
5456,2.66
5607,1.9
5614,1.52
5613,1.9
4583,2.3
4584,2.07
3013,2.2
4635,1.98
4645,4.14
8194,2.7
4646,1.38
3048,1.84
4651,2.76
1180,2.45
1538,3.055
1526,3.5
1540,1.225
1671,2.64
5177,4.18
1233,2.34
12410,2.34
10166,2.585
2935,1.71
1097,2.52
8509,3.29
5608,2.07
7374,2.53
8508,2.805
8580,1.785
8720,3.06
8725,1.53
9023,3.06
1099,3.8
8561,3.29
8596,3.29
7283,4.32
7367,3.36
1107,2.8
11672,2.35
12098,4.25
1607,2.16
1460,2.64
1110,2.76
1134,2.4
1143,2
1977,2.66
9708,1.88
1145,3.2
6420,4.9
1159,2.52
6583,2.76
2346,2.88
1160,2.16
2386,2.88
6647,2.76
7279,4.995
7366,4.81
1190,5.06
9044,1.71
6879,4.62
1191,2.52
1192,3.24
7130,2.79
7131,4.14
7177,1.38
2646,3.8
7282,1.38
7284,3.22
7368,4.14
7448,3.22
7471,1.84
12064,3.92
1239,1.84
7540,2.07
1245,2.4
7184,1.665
1345,2.2
7952,3.22
1346,2.2
7954,2.76
7957,4.6
7970,4.14
7988,4.62
8045,2.53
1092,2.28
10721,3
8189,2.1
8190,1.38
1391,1.4
5457,2.53
5464,1.38
9879,3.315
15296,3.06
6572,6.24
9763,5.52
14281,5.7
2171,6.44
2877,6.9
12215,3.36
12216,3.36
12213,3.43
12214,3.36
15439,3.5
12233,3.43
12217,3.43
12218,3.43
12231,3.36
12232,3.36
12234,3.43
10263,3.15
10259,3.43
10260,3.15
10262,3.15
1476,1.4
7839,4.625
3155,2.53
15285,5.625
14244,4.4
14245,4.25
1621,7.92
18969,3.36
8564,2.22
5771,3.43
7530,4.165
3559,4.465
12037,3.43
6305,5.04
7171,4.08
7524,5.75
8628,5.52
8944,5.04
10008,3.36
14294,4.83
14753,4.575
14725,3.92
14740,3.315
14746,4.335
14750,3.06
8638,3.08
8637,4.4
8639,3.08
8640,3.08
17158,3.57
17895,3.3
22005,3.57
18291,3.43
18334,3.57
8899,3.08
8902,3.43
8912,3.15
8916,3.08
8951,3.08
19002,3.05
19350,3.57
19363,3.5
9166,3.08
9192,3.08
20358,3.5
20591,3.3
20602,3.5
20603,3.43
9250,3.08
9304,3.84
9352,3.43
9376,5.12
21228,3.57
21828,4.165
21925,3.3
22896,3.5
10048,3.36
10055,3.36
10054,3.43
10058,3.43
10067,3.43
10069,3.36
10088,3.36
10090,3.43
10092,3.36
10128,3.36
10125,3.36
10127,3.43
10126,3.36
10158,3.36
10157,3.36
10159,3.43
10297,3.15
6707,3.29
10515,4.08
6710,3.29
10853,3.84
12029,3.43
12030,3.43
12185,3.68
12431,4.335
7632,3.29
20349,3.06
7798,2.99
14674,3.57
4940,7.6
5698,5.805
5977,7
6953,4.515
8158,7.77
8973,4.27
9237,2.88
8377,4.255
7168,2.94
1521,7.05
1522,5.52
2272,5.29
2273,5.06
2329,7.99
2860,6.44
6327,2.35
6418,4.125
6595,6.325
8055,4.95
8161,4.95
8915,7.92
11723,3.22
12734,4.75
14273,4.575
20368,5.58
13013,3.696
14519,3.43
14565,4.25
8768,1.32
10605,2.64
12220,2.805
12221,3.315
12230,3.57
14005,3.57
2657,4.935
2917,8.225
3016,8.05
3028,5.98
3328,5.98
4255,5.04
4279,6
4740,7.68
4741,7.68
2875,3.5
4199,6
4411,4.08
4429,5.824
1189,2.76
14672,3.66
14685,4.335
14700,3
14717,4
14728,4.25
14730,2.88
14731,3.696
8372,4.84
8374,3.96
8378,3.36
14743,3.57
8382,4.84
14749,3.57
14751,3.06
14765,4.25
14792,2.805
14892,4.4
8440,2.3
8546,4.4
8619,3.96
8627,4.4
16129,3.25
8641,3.52
18061,3
8782,3.84
8802,2.94
8892,3.52
8890,2.42
8897,3.96
18490,2.805
8917,4.05
9161,3.52
9179,4.32
5887,3.36
9201,3.6
9311,3.84
9477,3.96
22882,4.25
9711,3.43
9766,3.43
10007,2.695
6506,2.94
10164,3.36
6594,4.2
10338,5.39
5976,7.03
6729,2.94
6785,3.36
4371,3.675
2298,1.4
7576,2.94
8057,3.43
8156,2.205
8387,4.2
6935,4.62
7090,3.22
7195,3.36
11425,4.9
7331,4.23
2068,4.14
3064,3.12
7456,5.17
7455,2.94
3868,6
4324,4.08
4372,5
5558,4.8
7473,4.7
7480,1.89
8056,5.625
7489,1.89
8804,2.604
9142,4.4
9143,5.52
7531,2.82
14599,2.7
14696,5.27
7577,3.22
7634,3.22
12780,3.84
12790,4.335
12862,3.36
12902,3.92
12906,4.41
13011,2.025
13012,4.32
7788,2.53
5801,4.14
5802,4.14
7789,2.2
7837,2.35
7838,2.64
7859,4.14
7860,3.22
13383,4.25
7888,3.96
13733,3.87
13790,2.94
13865,2.52
8053,3.96
8054,3.96
8060,3.52
14203,4.32
8072,4.84
8150,3.96
14358,2.94
14583,4
8250,3.08
14582,3.06
14686,3.66
14691,4.48
14732,3.66
14742,3.57
4744,3.22
8400,3.96
8433,2.64
15289,3.06
15294,3.75
15768,3.75
16538,3.3
16754,3.57
17578,3.57
19927,3.36
8731,3.08
18905,3.3
18912,3.36
18913,3.2
18961,3.57
18962,3.2
18964,3.36
18965,3.36
18967,3.36
18161,4
1073,2.625
1115,6.3
1164,5.775
1251,3.075
1254,3.6
1283,4.725
1348,5.25
1405,2.8
1653,3.85
1867,3.5
18508,3.185
5619,2.76
8946,2.64
8949,2.64
8958,4.4
18979,3.825
18981,3.57
18983,4.335
18984,3.57
3349,5.06
9181,3.12
20356,3.6
3378,2.99
9500,4.4
3488,3.22
6125,3.36
22308,2.75
9597,3.43
9642,2.5
9712,3.36
10073,3.43
3785,5.06
6728,2.94
7413,2.035
6760,2.94
8052,4.07
3899,2.07
10714,1.96
6811,2.64
10813,4.32
7406,2.45
10829,4.32
3918,3.22
8350,4.9
8370,6.86
1043,2.28
1047,4.18
1088,5.52
7136,1.84
4102,3.22
4107,5.06
11459,2.16
4116,2.3
11709,3.68
11720,3.43
1194,4.14
7376,3.06
2324,5.625
4133,2.53
2415,4.725
2623,5.06
2921,5.98
2953,4.14
12024,3.43
3087,3.91
3311,3.45
3758,3.68
4019,2.64
4369,3.29
4370,3.12
4808,2.64
4879,2.585
6554,5.52
12202,3.68
7525,3.08
12222,3.696
12226,3.696
14895,5.7
17909,3.315
12783,3.43
12786,2.73
12859,4.41
12873,2.64
7799,3.52
6215,3.22
6274,3.22
6275,3.22
6277,3.22
6365,2.94
2347,3.29
2624,3.29
2641,3.29
2619,4.14
2621,2.76
14588,4.335
3491,4.51
8385,4.84
9193,5.52
12201,4.9
14755,5.49
15284,5.355
6453,3.515
13382,2.99
14574,5.58
14683,4.05
8348,2.42
14739,3.66
3862,2.8
14747,4.84
8383,3.43
1399,4.2
8349,4.9
1483,6.9
8495,3.66
8496,4.4
14006,3.43
1585,4.5
1599,4.18
5595,2.94
1833,3.96
1832,3.332
1873,6.426
1918,4.76
1930,3.2
5694,4.2
9062,3.36
3965,3.22
9163,2.88
9182,1.98
9184,4.4
20599,3.3
6123,4.27
6324,4.6
6451,3.05
10057,3.68
6517,3.29
6519,2.94
2335,3.332
6539,6.3
6697,3.29
1872,7.26
7826,3.885
3963,3.22
3962,3.22
3964,3.22
3966,3.22
11456,2.94
11704,3.68
1601,6
1615,5.06
1887,3.68
1927,4.14
1931,5.06
1938,3.68
2413,4.23
2828,5.75
2886,3.055
3582,6.44
3431,4.14
5408,3.36
3435,4.14
6261,5.76
7636,3.6
7705,5.52
7887,6.24
8642,6
8948,6.72
9506,5
11726,3.66
12928,5.5
4188,3.22
13520,5.7
14270,4.725
4189,3.22
14564,4.27
4194,3.22
14733,3.75
14890,4.725
16021,4.88
20601,4.59
7827,2.3
6312,2.94
4408,3.22
8019,3.08
8075,3.08
14568,4.25
8630,3.36
8913,4.88
9767,4.08
10094,4.8
7432,6.66
7073,3.68
4597,2.88
4836,4.32
7502,3.36
11582,5.52
3961,5.1
14698,4.08
15283,3.06
15295,3.06
9242,3.57
7469,4.013
5634,2.205
5654,2.45
5696,2.45
5886,2.45
5888,3.185
6241,5.39
6731,2.94
7099,5.39
3099,2.76
11729,2.475
14202,4.27
14580,5.49
14682,3.965
14727,4.5
1393,4.56
14752,3.66
1095,2.66
7071,7.755
7100,3.7
8375,7.56
5706,3.22
6173,4.14
2112,5.28
2208,3.68
6685,3.66
6827,2.94
995,2.28
1004,5.52
1108,3.12
7631,3.29
12847,2.94
6256,3.22
6699,3.22
14199,4
8154,2.94
14567,4.25
10068,4.32
8645,5.28
9183,5.58
13563,4.928
14332,4.928
6734,3.43
8059,4.4
2024,5.25
11868,2.45
11871,2.695
11034,1.715
15857,2.88
2589,2.3
2701,2.3
3021,2.42
3075,3.45
3078,2.2
3079,4.6
3120,2.86
3254,2.99
3452,1.84
4791,4
11029,3.055
12209,2.94
13175,2.94
13311,1.92
3020,2.86
3054,2.99
3055,2.856
3122,2.42
3133,3.08
3134,3.648
3574,1.84
3641,2.3
3768,2.76
3928,2.94
4814,2.53
9405,3.055
12166,2.58
13174,3.43
13531,2.695
13633,3.808
16087,3.15
16088,2.16
16089,3.15
16091,2.88
17115,3.15
18110,3.6
20616,2.94
20619,1.96
22161,3
6218,2.07
10124,2.45
10328,2.616
8199,1.38
8245,2.53
8601,1.88
8665,2.64
8672,1.32
8825,2.64
8937,2.64
9403,1.41
9409,3.29
9411,1.575
9718,2.82
10731,2.805
7492,2.205
8563,3.12
3584,3
7365,2.3
7417,3.22
7420,3.36
7421,4.41
7426,2.99
7433,3.78
7438,3.22
8204,2.99
8257,3.22
9587,2.82
17888,3.6
19061,3.78
2906,1.54
2907,1.32
2908,1.54
2909,1.98
2987,2.42
3255,2.07
6544,2.99
7759,3.45
8298,3.29
8287,2.82
8296,2.99
8310,2.82
8305,3.43
8307,2.82
8549,2.82
8550,2.86
8551,2.925
8552,2.925
8612,2.82
8610,2.99
9064,3.29
9065,2.82
9067,2.82
9068,3.29
9077,2.82
9078,3.29
9079,2.82
9080,2.82
9081,2.82
9082,3.29
9084,2.82
9090,3.29
9091,2.82
9171,2.82
9176,2.925
9177,2.99
9178,2.82
9213,2.925
18398,2.88
18399,2.88
18400,2.88
18401,2.16
6828,2.07
6840,1.84
7794,1.41
7975,3.055
7976,2.76
7985,1.84
8174,2.07
8178,3.22
8248,3.76
8506,3.45
9717,2.82
10400,3.315
11870,2.45
16092,3.15
17179,3.25
18305,4.08
18995,3.43
6861,2.34
7172,2.565
3774,3.91
3856,3.91
3866,2.07
4073,3.22
4493,3.45
4826,3.91
5442,3.22
5851,3.91
6429,2.07
6671,1.84
6781,3.22
8111,2.82
14014,4.165
15788,4.76
15956,2.75
17849,2.88
3631,2.53
3670,2.53
3671,2.53
3672,5.06
3673,5.06
3674,2.99
3691,2.3
3696,2.99
3694,1.84
3697,3.91
3761,2.99
3930,2.76
3999,4.6
4136,3.45
4181,2.3
4316,3.45
4323,3.22
7797,4.62
14429,2.205
15129,2.94
15392,1.785
18328,3.9
8240,2.64
9868,4.08
3227,2.53
3379,2.53
3405,1.84
3406,2.53
3552,3.22
3556,2.76
3557,2.53
3561,2.76
3562,2.53
3563,2.76
3564,2.53
3565,2.76
3567,3.22
3566,2.76
3569,2.76
3568,3.22
3572,2.76
3573,2.53
3578,2.53
3575,2.76
3577,2.76
3576,2.76
3583,2.273
3954,2.53
5560,3.22
5649,2.53
5669,2.76
5670,2.53
5677,3.22
5843,2.53
6159,2.53
6161,2.76
6951,2.99
18446,1.82
18516,2.86
19372,2.6
11487,5.355
11519,3.06
11530,2.805
11532,1.785
11953,2.34
11956,3.64
11960,3.315
11963,3.825
11981,5.2
11984,4.08
12111,4.16
12144,4.59
13323,4.16
18360,2.6
10613,3.84
10762,4.8
11348,4.08
11387,5.635
11423,3.75
11531,3.57
11972,4.505
11986,3.06
12087,4.86
12089,5.565
12107,3.315
12119,5.865
12145,1.53
12374,3.92
13958,5.635
10611,5.39
10612,3.43
10614,3.92
11957,4.08
11971,2.94
11985,2.45
11998,1.56
12076,3.43
12084,3.185
15437,2.5
19915,4.08
19510,2.75
19660,3.57
20137,3.57
20411,2.295
20611,4.335
20041,4.335
22444,3.315
19914,3.64
20036,3.36
12478,5.72
15440,4.25
15528,5.61
13163,2.53
13809,4.125
10198,4.59
9761,4.165
10407,1.47
10422,1.47
9469,4.32
9514,1.68
9574,2.88
10061,3.36
9431,5.61
10168,2.805
10176,4.59
12403,2.34
9453,1.75
4053,3.43
12402,3.06
20310,4.335
13744,5.52
14222,4.83
13769,3.3
7591,1.375
10463,3.15
10464,3.15
10505,2.94
10597,2.94
10599,3.15
10602,3.15
10603,3.15
11040,2.94
11053,2.94
11070,2.94
11094,2.94
11149,2.94
11190,2.94
11189,2.94
15023,3.696
6197,5.89
3489,5.76
2358,3.22
4045,3.22
12846,3.43
10444,3.15
9173,4.32
10506,3.15
12876,3.43
12886,3.36
3904,3.12
5625,4.32
7192,7.92
8900,7.29
4890,4.23
1434,4.4
1449,4.6
1489,3.332
1505,2.3
1529,5.4
1624,5.06
1637,5.52
1641,3.6
1787,4.6
1804,3.29
2077,4.14
2081,4.84
2344,5.06
2364,3.22
914,3.22
917,2.66
1178,5.52
1181,4.56
3090,3.22
3756,3.22
4044,4.14
4138,3.22
6301,7.92
3822,7.92
6958,6.05
2306,3.332
10026,2.88
1874,2.856
2080,2.64
2231,2.856
2236,2.64
2741,2.64
3347,2.53
3348,2.53
3475,2.53
4862,3.96
2442,3.36
3486,7.44
12463,2.45
2297,5.17
2965,6.48
7832,1.92
9172,5.52
12547,3.66
3377,4
3864,3.22
3073,3.36
4935,5.7
2963,7
4139,2.88
4186,4.08
7584,7.92
8347,7.92
9197,5.52
19554,3.43
20354,3.43
20357,3.43
20360,3.5
2057,3.332
1219,7.59
1328,5.67
6180,3.22
6257,3.22
6278,3.22
6299,3
6596,3.22
6639,2.94
6677,2.94
6836,2.94
3783,5.28
4198,6.345
11585,3.68
20588,3.06
20589,3.06
20590,3.06
20362,3.5
11418,5.625
12548,4.575
12550,3.965
6939,4.32
7074,3.87
1275,4.14
7633,3.29
6528,2.94
6668,3.22
6673,2
12455,3.965
5838,4.2
10807,2.88
10810,3.57
12117,4.84
5630,7.44
5692,5.76
6967,3.6
3676,3.22
4018,3.22
5705,3.06
8058,2.88
2954,7.2
5411,3.325
11649,2.94
4134,4.27
12551,5.49
3225,2.94
12257,3.43
22202,2.04
22207,3.43
4046,4.08
1452,3.22
1454,3.22
2170,2.99
2380,3.22
2995,5.64
2070,2.53
2363,3.22
11586,4.312
12306,3.68
4410,7.92
2858,6.58
4835,2.2
4799,5.39
5855,3.7
4380,3.6
4482,4.8
8077,7.98
9758,3.96
12881,2.88
12899,3.12
18067,3.57
2441,4
2660,6.72
3581,4.8
6965,4.32
8051,7.7
8910,7.92
1490,1.4
1492,2.205
1638,2.25
1640,1.4
1655,4
1667,4.8
1811,2.07
1895,1.61
2061,1.4
2149,5.06
2185,1.4
2282,5.06
2286,1.4
2302,3.68
2307,3.22
2409,2.07
2411,1.4
2519,1.4
799,6.9
994,6.44
1000,5.52
1013,3.22
1016,3.8
1018,3.22
1048,3.8
1054,3.22
1055,5.06
1057,5.52
1058,3.42
1063,5.06
1064,2.88
1066,4.6
1084,5.06
1101,7.36
1102,3.8
1165,3.22
1168,7.59
1179,6.44
1255,2.66
1256,2.09
1395,4.6
2889,4.14
2920,2.76
2956,1.84
2957,2.07
2958,1.61
2959,2.76
2960,2.76
2961,2.76
2962,2.76
3036,1.38
3083,2.07
3085,2.76
3245,5.06
3334,1.61
3430,4.14
3433,4.14
3436,4.14
3442,2.07
3444,2.07
3487,4.6
3570,2.07
3686,2.07
3705,2.3
3923,3.22
4104,4.6
4499,5.06
4514,4.4
4861,3.22
5436,1.61
5803,4.14
6109,3
6322,5.06
6407,2.07
6634,2
7630,4.14
8424,5.28
1059,3.68
8152,7.975
12114,3.43
12457,3.5
12546,3.43
15688,3.43
6064,3.7
2425,2.25
2919,8.16
3332,5.52
6276,6.72
8376,5.28
8384,5.76
1620,3.22
3681,3.22
10452,3.36
10467,3.36
10468,3.36
11106,3.36
11107,3.36
11108,3.36
11150,3.36
11687,3.36
11688,3.36
8386,5.29
1616,2.64
1795,2.76
1821,3.22
1964,3.68
2078,3.68
2240,4.14
2250,4.6
2251,3.22
2264,3.22
2296,3.22
2308,5.06
2323,5.06
2414,3.22
1250,4.95
1252,3.8
1259,3.8
1352,6.21
2827,5.06
2859,3.22
2967,5.06
3244,3.22
3313,3.22
3683,5.06
4526,5.06
5358,3.22
6270,3.52
7081,3.96
3682,2.88
4382,6
4406,6.72
4908,2.88
5438,3.6
5793,6
5845,2.4
5876,7.92
8919,3.76
9147,4.8
1965,2.99
2098,7.52
2952,7.755
2955,5.17
9141,2.2
2252,3.332
5632,6.11
1141,8.05
3039,2.856
13835,1.785
13840,2.295
11241,2.205
13187,3.15
13923,3.185
13928,2.45
14252,1.96
16074,3.315
17893,2.45
21504,3
22433,4.32
20021,2.25
1185,3.885
8464,5.39
13082,3.825
13359,2.805
13532,3.57
14300,1.715
7014,7.35
12793,1.47
21502,2.205
22282,3.24
20671,4.165
8078,4.08
6176,2.3
9746,2.205
11686,3.92
11689,4.9
12103,2.695
12146,3.43
12898,4.165
13138,3.43
13464,3.185
13514,2.94
13568,1.89
13683,2.205
13877,3.43
13881,2.695
13888,1.89
14193,1.89
14389,2.205
15274,2.94
15308,3.75
20414,1.715
20613,2.94
20669,3.5
21284,3.43
21816,2.205
21817,3.43
21824,2.94
22261,3.24
21232,2.34
22263,3.12
3012,2.59
3224,2.035
3554,1.85
4217,5.55
4335,4.56
4345,3.825
4506,3.61
1411,2.3
1427,1.98
1429,1.54
1432,1.98
1468,2.1
2843,4.83
3553,2.115
3784,2.35
3787,2.82
3870,2.82
4036,2.88
4048,2.585
4778,2.07
5974,3.91
6819,1.68
7080,2.24
7289,2.24
7434,5.52
7440,1.68
7445,5.7
7701,3.92
7836,3.43
7910,2.205
8631,3.185
8827,5.75
9021,3
9200,5.355
9669,2.16
11850,2.75
13861,2.805
13987,5.1
15307,4.5
15309,2.6
15787,4.94
15789,4.16
15898,5.4
17159,3.12
929,2.3
930,2.52
931,2.16
932,2.76
933,2.4
935,2.64
936,1.8
3484,2.3
3498,2.76
3678,2.07
5629,2.07
5936,2.99
6113,3.68
6304,2.52
6405,2.3
6434,1.84
6471,6.9
6616,2.99
6814,2.3
7102,1.61
7795,2.3
7865,2.76
8221,3.91
8847,2.695
9199,4.165
9521,2.82
9719,3.27
9867,2.42
10272,1.96
10334,3.27
10414,2.45
10557,2.94
10654,2.695
10712,2.45
10798,3.675
10820,2.205
10871,1.41
10873,2.45
11297,2.94
11480,3.675
11827,2.205
12310,1.96
12835,3.185
12874,4.41
13098,3.185
13468,3.055
13687,2.695
13699,2.94
13726,2.695
13729,2.94
13799,1.96
13871,2.45
13895,3.675
14019,1.715
14021,3.43
14023,4.165
14336,5.67
14404,4.41
14815,3.816
14829,2.75
15532,2.52
15825,3.43
18993,1.68
19289,3.78
20263,2.45
20264,2.695
21288,3.675
21941,1.84
22021,2.5
22320,3.25
22677,4
22440,4.16
11388,5.61
11674,3.57
11675,1.53
11701,3.825
12151,2.295
12156,2.55
12533,2.205
13889,3.38
8084,5.52
8138,2.76
8185,1.61
8826,4.23
8891,3.055
9402,2.45
9417,2.88
9444,1.96
9772,2.94
1617,3.22
1627,3.825
1771,1.62
1979,2.82
3233,3.011
6199,6.72
7628,4.84
7642,1.715
10110,2.82
10548,3.525
20541,2.205
22813,2.75
2642,3.24
2683,2.76
4125,2.88
4347,2.76
5794,3.055
7296,4.76
7463,1.68
7909,3.33
17891,5.2
7629,2.07
8260,4.6
9063,4.05
1216,2.8
1217,2.8
1445,1.2
9604,2.75
9658,3
9602,3
1443,1.84
1448,2.4
6038,2.52
6062,3.696
8172,2.94
8286,3.43
2012,2.2
2182,3.96
3234,3.332
3235,2.38
3236,2.38
3237,2.856
3240,2.856
3238,3.332
3242,2.856
3239,2.856
3241,2.856
2288,2.38
2319,1.32
8938,2.94
2305,1.84
12630,1.96
13302,2.205
8603,1.225
8680,2.115
9157,2.205
13486,1.96
9959,2.943
10185,3.27
10309,1.962
10527,2.94
10583,2.35
10791,2.94
10903,3.924
10933,1.8
12561,2.475
12739,3.675
12931,4.165
12934,1.47
13827,2.5
14398,3.3
14995,3.3
18118,3.816
18428,3.14
18433,2.2
20533,2.88
21017,2.7
3229,2.52
