,DHI,DNI,Date,GHI,Unnamed: 0,lat,log
48,34.567,138.121,01/2008,96.90899999999999,0,32.75,-117.25
49,41.381,129.546,02/2008,108.316,1,32.75,-117.25
50,54.998999999999995,196.144,03/2008,176.812,2,32.75,-117.25
51,66.986,185.498,04/2008,195.632,3,32.75,-117.25
52,78.482,166.137,05/2008,202.203,4,32.75,-117.25
53,83.24600000000001,147.469,06/2008,196.442,5,32.75,-117.25
54,89.62799999999999,131.334,07/2008,187.855,6,32.75,-117.25
55,70.101,161.858,08/2008,188.946,7,32.75,-117.25
56,62.313,142.597,09/2008,156.872,8,32.75,-117.25
57,47.555,170.709,10/2008,142.917,9,32.75,-117.25
58,36.963,147.864,11/2008,107.02600000000001,10,32.75,-117.25
59,29.878,121.329,12/2008,80.84100000000001,11,32.75,-117.25
60,33.269,147.332,01/2009,99.04,0,32.75,-117.25
61,41.53,135.542,02/2009,112.631,1,32.75,-117.25
62,58.108000000000004,174.416,03/2009,165.545,2,32.75,-117.25
63,67.648,170.22400000000002,04/2009,186.47799999999998,3,32.75,-117.25
64,87.197,111.208,05/2009,171.747,4,32.75,-117.25
65,85.574,138.175,06/2009,191.90599999999998,5,32.75,-117.25
66,79.555,170.188,07/2009,209.386,6,32.75,-117.25
67,72.402,155.095,08/2009,186.172,7,32.75,-117.25
68,61.494,161.905,09/2009,169.574,8,32.75,-117.25
69,51.318999999999996,150.808,10/2009,136.58,9,32.75,-117.25
70,35.92,156.305,11/2009,108.773,10,32.75,-117.25
71,34.129,122.66,12/2009,86.024,11,32.75,-117.25
72,33.065,135.284,01/2010,93.589,0,32.75,-117.25
73,41.176,139.378,02/2010,113.344,1,32.75,-117.25
74,56.481,178.075,03/2010,164.44799999999998,2,32.75,-117.25
75,67.042,166.81599999999997,04/2010,182.771,3,32.75,-117.25
76,74.791,187.96400000000003,05/2010,214.845,4,32.75,-117.25
77,90.87200000000001,104.62899999999999,06/2010,171.74099999999999,5,32.75,-117.25
78,87.368,79.736,07/2010,146.583,6,32.75,-117.25
79,69.706,173.03400000000002,08/2010,195.43900000000002,7,32.75,-117.25
80,65.097,122.339,09/2010,145.547,8,32.75,-117.25
81,49.45,100.835,10/2010,105.29299999999999,9,32.75,-117.25
82,31.381,163.84400000000002,11/2010,108.301,10,32.75,-117.25
83,33.515,99.696,12/2010,76.139,11,32.75,-117.25
84,32.510999999999996,158.036,01/2011,103.536,0,32.75,-117.25
85,37.648,154.37,02/2011,118.111,1,32.75,-117.25
86,60.407,153.221,03/2011,155.05200000000002,2,32.75,-117.25
87,66.313,169.28599999999997,04/2011,184.09599999999998,3,32.75,-117.25
88,79.663,158.504,05/2011,195.765,4,32.75,-117.25
89,85.625,120.81200000000001,06/2011,179.25099999999998,5,32.75,-117.25
90,79.582,162.684,07/2011,203.794,6,32.75,-117.25
91,76.237,133.909,08/2011,175.55,7,32.75,-117.25
92,65.976,112.471,09/2011,140.9,8,32.75,-117.25
93,49.723,127.617,10/2011,121.12799999999999,9,32.75,-117.25
94,36.311,121.57600000000001,11/2011,93.277,10,32.75,-117.25
95,28.566,165.983,12/2011,98.071,11,32.75,-117.25
96,30.375999999999998,153.789,01/2012,99.823,0,32.75,-117.25
97,38.895,145.38,02/2012,114.779,1,32.75,-117.25
98,54.295,155.696,03/2012,151.16,2,32.75,-117.25
99,64.35,148.705,04/2012,166.019,3,32.75,-117.25
100,75.95,147.866,05/2012,188.919,4,32.75,-117.25
101,74.711,132.44299999999998,06/2012,177.225,5,32.75,-117.25
102,76.253,147.234,07/2012,188.834,6,32.75,-117.25
103,65.509,168.96400000000003,08/2012,187.468,7,32.75,-117.25
104,51.193999999999996,175.231,09/2012,167.201,8,32.75,-117.25
105,49.658,150.291,10/2012,133.65,9,32.75,-117.25
106,33.458,147.976,11/2012,104.499,10,32.75,-117.25
107,31.726,114.76700000000001,12/2012,80.25,11,32.75,-117.25
108,34.019,138.259,01/2008,95.635,0,33.05,-117.15
109,35.821999999999996,139.681,02/2008,107.891,1,33.05,-117.15
110,50.233999999999995,205.995,03/2008,178.359,2,33.05,-117.15
111,55.986000000000004,209.298,04/2008,200.812,3,33.05,-117.15
112,70.372,169.813,05/2008,195.795,4,33.05,-117.15
113,61.49,223.424,06/2008,233.43200000000002,5,33.05,-117.15
114,63.66,213.653,07/2008,227.248,6,33.05,-117.15
115,56.92,207.075,08/2008,208.18200000000002,7,33.05,-117.15
116,46.111000000000004,192.035,09/2008,175.43200000000002,8,33.05,-117.15
117,37.369,208.674,10/2008,154.263,9,33.05,-117.15
118,31.416,165.378,11/2008,108.522,10,33.05,-117.15
119,26.697,129.17700000000002,12/2008,80.82300000000001,11,33.05,-117.15
120,30.14,158.188,01/2009,100.541,0,33.05,-117.15
121,39.786,135.067,02/2009,109.289,1,33.05,-117.15
122,51.46,193.705,03/2009,171.89700000000002,2,33.05,-117.15
123,60.437,185.303,04/2009,188.50900000000001,3,33.05,-117.15
124,68.249,176.805,05/2009,203.958,4,33.05,-117.15
125,80.428,144.768,06/2009,191.551,5,33.05,-117.15
126,60.368,236.16,07/2009,239.764,6,33.05,-117.15
127,57.552,211.317,08/2009,211.908,7,33.05,-117.15
128,47.0,207.388,09/2009,186.018,8,33.05,-117.15
129,43.986000000000004,175.05700000000002,10/2009,142.495,9,33.05,-117.15
130,30.115,178.293,11/2009,114.63799999999999,10,33.05,-117.15
131,32.5,128.85,12/2009,86.256,11,33.05,-117.15
132,30.333000000000002,147.85299999999998,01/2010,96.736,0,33.05,-117.15
133,37.943000000000005,143.049,02/2010,112.134,1,33.05,-117.15
134,51.278,188.24599999999998,03/2010,165.106,2,33.05,-117.15
135,60.44,194.38099999999997,04/2010,195.94299999999998,3,33.05,-117.15
136,65.43,210.671,05/2010,222.139,4,33.05,-117.15
137,69.02,188.165,06/2010,214.169,5,33.05,-117.15
138,69.262,154.162,07/2010,186.662,6,33.05,-117.15
139,56.062,219.842,08/2010,215.937,7,33.05,-117.15
140,47.863,187.295,09/2010,172.201,8,33.05,-117.15
141,45.238,113.38799999999999,10/2010,107.74700000000001,9,33.05,-117.15
142,29.758000000000003,170.49400000000003,11/2010,109.193,10,33.05,-117.15
143,30.480999999999998,114.125,12/2010,78.12100000000001,11,33.05,-117.15
