actual,closest
"(33.035800000000002, -116.85129999999999)","(33.05, -116.85)"
"(38.038899999999998, -121.24209999999999)","(38.05, -121.25)"
"(33.798699999999997, -116.5189)","(33.75, -116.55)"
"(38.457599999999999, -122.6932)","(38.45, -122.65)"
"(37.879800000000003, -122.0714)","(37.85, -122.05)"
"(37.2136, -121.8567)","(37.25, -121.85)"
"(34.138599999999997, -117.6636)","(34.15, -117.65)"
"(32.960999999999999, -117.1251)","(32.95, -117.15)"
"(33.880800000000001, -117.5407)","(33.85, -117.55)"
"(36.8401, -119.6611)","(36.85, -119.65)"
"(38.004899999999999, -121.4002)","(38.05, -121.45)"
"(38.902900000000002, -121.29799999999999)","(38.95, -121.25)"
"(34.265000000000001, -118.7718)","(34.25, -118.75)"
"(37.992100000000001, -121.7133)","(37.95, -121.75)"
"(37.923499999999997, -121.9117)","(37.95, -121.95)"
"(38.597900000000003, -122.6095)","(38.55, -122.65)"
"(38.269599999999997, -122.03700000000001)","(38.25, -122.05)"
"(37.269300000000001, -121.8494)","(37.25, -121.85)"
"(32.761800000000001, -117.0127)","(32.75, -117.05)"
"(33.527700000000003, -117.1206)","(33.55, -117.15)"
"(34.106999999999999, -117.2975)","(34.15, -117.25)"
"(33.889000000000003, -118.4053)","(33.85, -118.45)"
"(34.4895, -117.3532)","(34.45, -117.35)"
"(34.125100000000003, -117.45820000000001)","(34.15, -117.45)"
"(38.851199999999999, -121.73350000000001)","(38.85, -121.75)"
"(32.773600000000002, -117.1379)","(32.75, -117.15)"
"(33.902099999999997, -118.0097)","(33.95, -118.05)"
"(33.751399999999997, -117.9939)","(33.75, -117.95)"
"(32.917999999999999, -117.0844)","(32.95, -117.05)"
"(38.818000000000005, -121.26309999999999)","(38.85, -121.25)"
"(36.691000000000003, -119.83320000000001)","(36.65, -119.85)"
"(33.945300000000003, -116.9759)","(33.95, -116.95)"
"(34.101700000000001, -117.65779999999999)","(34.15, -117.65)"
"(32.718200000000003, -116.8261)","(32.75, -116.85)"
"(35.200499999999998, -119.17399999999999)","(35.25, -119.15)"
"(34.402200000000001, -119.5231)","(34.45, -119.55)"
"(34.057600000000001, -117.6656)","(34.05, -117.65)"
"(33.535299999999999, -117.7719)","(33.55, -117.75)"
"(34.127800000000001, -117.52460000000001)","(34.15, -117.55)"
"(32.715000000000003, -117.1254)","(32.75, -117.15)"
"(33.087899999999998, -117.1156)","(33.05, -117.15)"
"(38.614100000000001, -122.8763)","(38.65, -122.85)"
"(33.841000000000001, -118.0097)","(33.85, -118.05)"
"(37.499200000000002, -122.26649999999999)","(37.45, -122.25)"
"(36.5182, -121.4256)","(36.55, -121.45)"
"(34.065199999999997, -117.77930000000001)","(34.05, -117.75)"
"(34.046999999999997, -117.48100000000001)","(34.05, -117.45)"
"(37.244399999999999, -121.8325)","(37.25, -121.85)"
"(33.427100000000003, -117.61399999999999)","(33.45, -117.65)"
"(32.946800000000003, -117.2192)","(32.95, -117.25)"
